BOROUGH,ZIP,BLDGNO1,STREET1,STSUFX1,BLDGNO2,STREET2,STSUFX2,CITY,COUNTY,STATUS1,STATUS2,STATUS3,BLOCK,LOT
Bronx,10451,2401,3RD,AVE,,,,BRONX,60,MULTIPLE DWELLING A,421-A (16),,2319,2
Bronx,10451,2413,3RD,AVE,,,,BRONX,60,MULTIPLE DWELLING A,421-A (16),,2319,109
Bronx,10451,2455 TO 2457,3RD,AVE,240,E 135TH,ST,BRONX,60,MULTIPLE DWELLING A,421-A (16),,2319,38
Bronx,10451,3055,3RD,AVE,,,,BRONX,60,MULTIPLE DWELLING A,SECTION 610 OF PHFL,,2378,7501
Bronx,10451,3103,3RD,AVE,,,,BRONX,60,MULTIPLE DWELLING A,421-A (1-15),SECTION 610 OF PHFL,2380,51
Bronx,10451,3194,3RD,AVE,,,,BRONX,60,MULTIPLE DWELLING B,GARDEN COMPLEX,,2620,2
Bronx,10451,3202,3RD,AVE,,,,BRONX,60,MULTIPLE DWELLING A,J-51,,2620,6
Bronx,10451,3204,3RD,AVE,,,,BRONX,60,MULTIPLE DWELLING A,,,2620,7
Bronx,10451,3206,3RD,AVE,,,,BRONX,60,MULTIPLE DWELLING B,,,2620,8
Bronx,10451,3213,3RD,AVE,491,E 162ND,ST,BRONX,60,MULTIPLE DWELLING A,,,2367,7502
Bronx,10451,3221,3RD,AVE,,,,BRONX,60,MULTIPLE DWELLING A,GARDEN COMPLEX,,2367,25
Bronx,10451,3240 TO 3246,3RD,AVE,,,,BRONX,60,MULTIPLE DWELLING A,,,2620,22
Bronx,10451,740,BROOK,AVE,,,,BRONX,60,MULTIPLE DWELLING A,,,2360,7502
Bronx,10451,871,BROOK,AVE,31513153,3RD,AVE,BRONX,60,MULTIPLE DWELLING A,,,2365,29
Bronx,10451,873,BROOK,AVE,,,,BRONX,60,MULTIPLE DWELLING A,SECTION 610 OF PHFL,,2365,26
Bronx,10451,877,BROOK,AVE,,,,BRONX,60,MULTIPLE DWELLING A,SECTION 610 OF PHFL,,2365,25
Bronx,10451,885,BROOK,AVE,,,,BRONX,60,MULTIPLE DWELLING A,SECTION 610 OF PHFL,,2365,20
Bronx,10451,707,CONCOURSE,VLG W,,,,BRONX,60,MULTIPLE DWELLING A,,,2458,7501
Bronx,10451,747,CONCOURSE,VLG W,180,E 156TH,ST,BRONX,60,MULTIPLE DWELLING A,,,2458,7501
